,budget,popularity,revenue,runtime,vote_count,release_date,Action,Adventure,Fantasy,ScienceFiction,Crime,Drama,Thriller,Animation,Family,Western,Comedy,Romance,Horror,Mystery,History,War,Music,Documentary,Foreign,TVMovie,vote_average
2260,1e-08,0.022940934943572203,1e-08,0.2988165780473373,0.02079698498545666,0.07050741245930692,1e-08,1e-08,1e-08,1e-08,1.00000001,1.00000001,1.00000001,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,5.9
3796,1e-08,0.0006817159667577074,1e-08,0.27218935911242603,0.0005090268702734148,0.20448783615808272,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,6.7
2647,0.039473694210526315,0.022743712824947818,0.0012673239331891498,0.28994083840236684,0.021087851768470042,0.09362816933691413,1e-08,1e-08,1e-08,1e-08,1.00000001,1.00000001,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,6.0
1996,0.06052632578947369,0.009024747000294906,1e-08,0.2869822585207101,0.008580580098894706,0.16688934118848325,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,6.0
735,1e-08,0.024611353203587472,1e-08,0.28994083840236684,0.03512217404886562,0.1520026274441748,1.00000001,1e-08,1e-08,1.00000001,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,5.3
1341,0.09605264157894736,0.003181704245972965,0.007831831532419354,0.34023669639053256,0.0016724940023269343,0.09000191855304414,1.00000001,1e-08,1.00000001,1.00000001,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,5.3
3297,0.057894746842105264,0.014725334680156344,0.000148309561543254,0.2869822585207101,0.007489829662594531,0.10401615090574474,1.00000001,1e-08,1e-08,1e-08,1.00000001,1.00000001,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,5.8
1781,0.07368422052631578,0.07002162723861839,0.01907542821380061,0.3343195366272189,0.08224259289703316,0.032745327228780985,1e-08,1e-08,1e-08,1e-08,1.00000001,1.00000001,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,6.2
4632,0.0006579047368421053,0.0016665257098117804,0.001501797457641861,0.2692307792307692,0.0016724940023269343,0.16269052449137061,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1.00000001,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,6.3
4659,1e-08,0.000196792410743683,1e-08,0.31952663721893493,0.00014544339150668992,0.029637112271178125,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,5.5
3571,0.013157904736842104,0.06790286797616475,0.019798781963603147,0.34615385615384614,0.20986039394415357,0.042996983580172864,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,7.9
950,0.13157895736842104,0.03280749553670867,0.01597857487074438,0.41420119343195266,0.04232112692844677,0.19347275858903398,1.00000001,1.00000001,1e-08,1e-08,1.00000001,1.00000001,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,6.8
1373,0.07105264157894736,0.03355700560076834,0.08320636939154427,0.47928995082840237,0.03941245909831297,0.21043161563841098,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,7.0
835,0.14473685210526316,0.037501698092803674,0.06720377624285898,0.2781065188757396,0.05461024851076207,0.06516346393570903,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,5.7
2714,0.03684211526315789,0.005594492170904733,1.668703810811746e-05,0.4408284123668639,0.006253645834787667,0.06230063436949587,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,6.1
1920,0.06578948368421052,0.05929207654315215,0.00827024089618769,0.41420119343195266,0.0924956469982548,0.06287320028273849,1.00000001,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,7.7
3817,0.0025465521052631577,0.023464420309674213,0.0015315930244469628,0.2988165780473373,0.030759172303664924,0.07623307159173323,1e-08,1e-08,1e-08,1e-08,1.00000001,1.00000001,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,7.0
2159,0.05263158894736842,0.019686523293017375,0.006250088267210381,0.3224852171005917,0.043121010581733565,0.0647817533268806,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,6.0
2980,0.02631579947368421,0.061361697022314844,0.042535650260691685,0.31065089757396447,0.09496801465386852,0.015023048961747144,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,6.1
3557,0.013157904736842104,0.016848915882018575,0.023057082091663537,0.257396459704142,0.025087270034904015,0.15134826640046894,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1e-08,1e-08,6.1
4286,0.039473694210526315,0.00018949440202249406,1e-08,0.257396459704142,0.00014544339150668992,0.06554517454453744,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000001,1.00000001,1e-08,1.00000001,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,5.8
